ds,yhat,yhat_lower,yhat_upper,actual
2001-01-07 00:00:00,32.39368837913541,23.37415964091538,42.11751769406081,37.92881491898813
2001-01-14 00:00:00,31.888411736678073,23.063163776135717,41.1929713234552,35.321952525080704
2001-01-21 00:00:00,30.938873795939617,21.272373018888622,39.92566751947402,33.310882788875475
2001-01-28 00:00:00,29.643259158632006,20.395117452302312,38.634140006756326,32.5042897670557
2001-02-04 00:00:00,28.481865994542215,19.320053345358517,37.884869066108905,29.03571923672766
2001-02-11 00:00:00,28.16806885615182,18.79581176879211,37.77403352285901,30.20024938232373
2001-02-18 00:00:00,29.015108387638698,19.261318026545368,38.9367413299489,30.661621661495765
2001-02-25 00:00:00,30.466750367813482,21.280579913858876,39.36052699054173,29.85363571945285
2001-03-04 00:00:00,31.413831304218917,21.97404845846051,40.881194485880286,32.518157143370104
2001-03-11 00:00:00,31.117527237996164,21.6990293049266,40.461206000285884,29.110348515709006
2001-03-18 00:00:00,29.859816887631283,19.811689383412972,39.15239304914944,27.92613363752652
2001-03-25 00:00:00,28.665406073016037,19.45485514092736,37.70784928629035,30.196586703394367
2001-04-01 00:00:00,28.379045497448807,19.262534269254015,37.009600704579505,21.495703828465764
2001-04-08 00:00:00,29.012470901207884,19.829104200909974,38.98510256566366,26.49418341428193
2001-04-15 00:00:00,29.925977254598322,20.278935740428523,39.38463164598252,29.85774806541455
2001-04-22 00:00:00,30.516800029618615,21.69405031438668,40.274245536668055,30.314762691837743
2001-04-29 00:00:00,30.652024788938036,21.61855993987756,39.684902724149964,53.40555541398428
2001-05-06 00:00:00,30.513773347628348,21.93405870768232,39.5495780438677,44.05325225694022
2001-05-13 00:00:00,30.222448696766232,20.498705580723726,39.276181999489154,36.220175771305264
2001-05-20 00:00:00,29.74816893625883,20.155185137067512,39.42643380780494,32.427556557770245
2001-05-27 00:00:00,29.136372561400478,20.076712323263052,38.454189930063926,23.575665372993733
2001-06-03 00:00:00,28.640015781154098,18.727473932934856,39.142566875061334,26.27309239444551
2001-06-10 00:00:00,28.508050136954203,20.09652107705792,38.457239361002145,28.683935051106108
2001-06-17 00:00:00,28.67884795254354,19.352310965652002,38.25673187111177,29.62970518145465
2001-06-24 00:00:00,28.796087736199567,19.885872286487704,37.54307038087159,32.8585425667316
2001-07-01 00:00:00,28.578438800649835,19.61919712810328,37.207511361576394,30.812416149472856
2001-07-08 00:00:00,28.124687525613144,18.881939581909563,37.61591454451181,28.757927989021063
2001-07-15 00:00:00,27.793427092754126,17.882866410480613,36.71587770286514,27.32233929477448
2001-07-22 00:00:00,27.7956669997646,18.57955921590503,36.95089931983155,26.719071097067022
2001-07-29 00:00:00,27.97236223363899,18.21160476870864,37.909229681019895,26.43311602187543
2001-08-05 00:00:00,28.00278385617371,18.603810942649815,37.2489760941153,26.007186856406964
2001-08-12 00:00:00,27.788276460824488,18.262983793560398,37.174876532412,25.14008102465058
2001-08-19 00:00:00,27.570661217212226,19.193997815411997,37.57591065302735,23.39028027856019
2001-08-26 00:00:00,27.663203277654034,17.833466138101976,37.02605639361393,21.925454895873045
2001-09-02 00:00:00,28.09790456650908,19.291673525667413,37.221569837187396,22.22218323285288
2001-09-09 00:00:00,28.555688772178843,19.506141860770352,37.834256168250256,25.172708592713875
2001-09-16 00:00:00,28.63255522359101,19.658669824783374,38.524444243534994,18.660167210763333
2001-09-23 00:00:00,28.18450011188216,18.915186520453076,38.18796547319806,23.34944751580245
2001-09-30 00:00:00,27.473137316665337,18.70394480959758,37.042623587087164,26.78848883185524
2001-10-07 00:00:00,27.027715071054608,16.990222787253497,35.73425578036267,27.77546644157898
2001-10-14 00:00:00,27.31803937348766,18.082736156929748,36.71673044489117,49.30639887243538
2001-10-21 00:00:00,28.41375625372975,19.037118333226598,37.04847760610837,42.531184832970126
2001-10-28 00:00:00,29.838667277079878,21.010153749915805,39.583158138155795,36.58340912553616
2001-11-04 00:00:00,30.788529467767717,21.820585004015005,41.184112264728945,33.82260416905832
2001-11-11 00:00:00,30.666732412532525,21.446203701446862,40.59665769386629,26.41170733204056
2001-11-18 00:00:00,29.578475674868546,20.009011784942906,38.735559542438025,28.95784588901129
2001-11-25 00:00:00,28.33375741939174,18.89466677157774,37.19953855747926,31.489229797009905
2001-12-02 00:00:00,27.867144218568175,18.45800742638583,37.34170663943465,32.892442981938245
2001-12-09 00:00:00,28.531560341190023,19.334610069152003,38.30004823452517,37.19298502434511
2001-12-16 00:00:00,29.88920800930266,20.794789149462776,39.34648190971017,36.1971218657772
2001-12-23 00:00:00,31.1587100127416,22.143418180517013,40.71532879031688,33.7297670645812
2001-12-30 00:00:00,31.835940682007564,22.5952849969168,40.85023628507338,29.69982804529649
2002-01-06 00:00:00,31.888416446562132,22.561539421878877,41.63103411908118,41.86482024912243
2002-01-13 00:00:00,31.46126005979562,21.495095993863945,40.738320037058045,30.06388847799802
2002-01-20 00:00:00,30.591207180722158,22.021128439729925,39.98003445005317,21.850170112060283
2002-01-27 00:00:00,29.334889604051295,20.80109411537816,37.64094390247942,20.237539160819264
2002-02-03 00:00:00,28.097244338599232,18.464514427814983,37.186156312107315,8.405846006564934
2002-02-10 00:00:00,27.58819920176261,18.16263461544965,36.255432347970725,12.044295526514448
2002-02-17 00:00:00,28.24259854279241,18.703320460026404,37.747686025250104,15.42529431388984
2002-02-24 00:00:00,29.66226319828654,20.343228884781876,39.06326669277023,17.332226153030774
2002-03-03 00:00:00,30.77706893454102,21.53160459687105,40.52674060453225,28.89189764584425
